ID,Action State,Description
00BE,DownSpotU,
00BF,DownBoundD,"The ""failed to tech"" bounce, facing down"
00C0,DownWaitD,
00C1,DownDamageD,Lying on the ground
00C2,DownStandD,Neutral getup
00C3,DownAttackD,
00C4,DownFowardD,
00C5,DownBackD,
00C6,DownSpotD,
00C7,Passive,Neutral tech
00C8,PassiveStandF,Forward tech
00C9,PassiveStandB,Backward tech
00CA,PassiveWall,Wall tech
00CB,PassiveWallJump,Walljump tech/plain walljump
00CC,PassiveCeil,Ceiling tech
00CD,ShieldBreakFly,
00CE,ShieldBreakFall,
00CF,ShieldBreakDownU,
00D0,ShieldBreakDownD,
00D1,ShieldBreakStandU,
00D2,ShieldBreakStandD,
00D3,FuraFura,Shield-break tottering
00D4,Catch,Grab
00D5,CatchPull,Successfully grabbing a character - pulling them in
00D6,CatchDash,
00D7,CatchDashPull,
00D8,CatchWait,Grabbing and holding a character
00D9,CatchAttack,Pummel
00DA,CatchCut,When opponent breaks of a character's grab
00DB,ThrowF,
00DC,ThrowB,
00DD,ThrowHi,
00DE,ThrowLw,
00DF,CapturePulledHi,
0.00E+00,CaptureWaitHi,
0.00E+00,CaptureDamageHi,
0.00E+00,CapturePulledLw,Becoming grabbed
0.00E+00,CaptureWaitLw,When grabbed
0.00E+00,CaptureDamageLw,Pummeled
0.00E+00,CaptureCut,Grab release
0.00E+00,CaptureJump,
0.00E+00,CaptureNeck,
0.00E+00,CaptureFoot,
0.00E+00,EscapeF,roll forward
00EA,EscapeB,roll backward
00EB,Escape,spotdodge
00EC,EscapeAir,airdodge
00ED,ReboundStop,
00EE,Rebound,
00EF,ThrownF,
00F0,ThrownB,
00F1,ThrownHi,
00F2,ThrownLw,
00F3,ThrownLwWomen,
00F4,Pass,Drop through platform
00F5,Ottotto,Ledge teeter
00F6,OttottoWait,
00F7,FlyReflectWall,
00F8,FlyReflectCeil,
00F9,StopWall,
00FA,StopCeil,
00FB,MissFoot,
00FC,CliffCatch,Catching the ledge
00FD,CliffWait,Hanging on the ledge
00FE,CliffClimbSlow,"Climbing the ledge, >100%"
00FF,CliffClimbQuick,"Climbing the ledge, <100%"
100,CliffAttackSlow,"Ledge attack, >100%"
101,CliffAttackQuick,"Ledge attack, <100%"
102,CliffEscapeSlow,"Ledge roll, >100%"
103,CliffEscapeQuick,"Ledge roll, <100%"
104,CliffJumpSlow1,
105,CliffJumpSlow2,
106,CliffJumpQuick1,
107,CliffJumpQuick2,
108,AppealR,Taunt right
109,AppealL,Taunt left
010A,ShoulderedWait,
010B,ShoulderedWalkSlow,
010C,ShoulderedWalkMiddle,
010D,ShoulderedWalkFast,
010E,ShoulderedTurn,
010F,ThrownFF,
110,ThrownFB,
111,ThrownFHi,
112,ThrownFLw,
113,CaptureCaptain,
114,CaptureYoshi,
115,YoshiEgg,
116,CaptureKoopa,
117,CaptureDamageKoopa,
118,CaptureWaitKoopa,
119,ThrownKoopaF,
011A,ThrownKoopaB,
011B,CaptureKoopaAir,
011C,CaptureDamageKoopaAir,
011D,CaptureWaitKoopaAir,
011E,ThrownKoopaAirF,
011F,ThrownKoopaAirB,
120,CaptureKirby,
121,CaptureWaitKirby,
122,ThrownKirbyStar,
123,ThrownCopyStar,
124,ThrownKirby,
125,BarrelWait,
126,Bury,
127,BuryWait,
128,BuryJump,
129,DamageSong,
012A,DamageSongWait,
012B,DamageSongRv,
012C,DamageBind,
012D,CaptureMewtwo,
012E,CaptureMewtwoAir,
012F,ThrownMewtwo,
130,ThrownMewtwoAir,
131,WarpStarJump,
132,WarpStarFall,
133,HammerWait,
134,HammerWalk,
135,HammerTurn,
136,HammerKneeBend,
137,HammerFall,
138,HammerJump,
139,HammerLanding,
013A,KinokoGiantStart,Super/Poison mushroom states
013B,KinokoGiantStartAir,
013C,KinokoGiantEnd,
013D,KinokoGiantEndAir,
013E,KinokoSmallStart,
013F,KinokoSmallStartAir,
140,KinokoSmallEnd,
141,KinokoSmallEndAir,
142,Entry,Warp in at beginning of match.
143,EntryStart,
144,EntryEnd,
145,DamageIce,
146,DamageIceJump,
147,CaptureMasterhand,
148,CapturedamageMasterhand,
149,CapturewaitMasterhand,
014A,ThrownMasterhand,
014B,CaptureKirbyYoshi,
014C,KirbyYoshiEgg,
014D,CaptureLeadead,
014E,CaptureLikelike,
014F,DownReflect,
150,CaptureCrazyhand,
151,CapturedamageCrazyhand,
152,CapturewaitCrazyhand,
153,ThrownCrazyhand,
154,BarrelCannonWait,
155,Wait1,Nothing beyond this point is
156,Wait2,
157,Wait3,
158,Wait4,
159,WaitItem,
015A,SquatWait1,
015B,SquatWait2,
015C,SquatWaitItem,
015D,GuardDamage,
015E,EscapeN,
015F,AttackS4Hold,
160,HeavyWalk1,
161,HeavyWalk2,
162,ItemHammerWait,
163,ItemHammerMove,
164,ItemBlind,
165,DamageElec,
166,FuraSleepStart,
167,FuraSleepLoop,
168,FuraSleepEnd,
169,WallDamage,
016A,CliffWait1,
016B,CliffWait2,
016C,SlipDown,
016D,Slip,
016E,SlipTurn,
016F,SlipDash,
170,SlipWait,
171,SlipStand,
172,SlipAttack,
173,SlipEscapeF,
174,SlipEscapeB,
175,AppealS,
176,Zitabata,
177,CaptureKoopaHit,
178,ThrownKoopaEndF,
179,ThrownKoopaEndB,
017A,CaptureKoopaAirHit,
017B,ThrownKoopaAirEndF,
017C,ThrownKoopaAirEndB,
017D,ThrownKirbyDrinkSShot,
017E,ThrownKirbySpitSShot,
